state_fips_year  jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
48003272017  22.55  37.29  51.76  54.57  64.94  76.21  86.90  79.54  67.37  55.71  44.04  31.95
48003272018  32.58  26.15  46.06  53.82  67.24  75.47  84.09  79.54  71.26  55.11  39.90  32.43
48003272019  33.80  24.76  41.92  55.51  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
48005271895  25.12  25.39  39.45  58.89  61.29  68.92  80.26  81.46  71.94  57.97  38.10  29.82
48005271896  32.63  36.91  34.34  52.99  64.96  77.97  82.26  82.67  65.16  56.88  26.60  39.61
48005271897  27.09  29.59  33.55  51.89  69.75  71.89  80.96  78.67  78.80  58.21  36.57  28.98
48005271898  27.43  38.57  35.83  53.62  58.60  74.86  83.23  84.16  71.76  50.50  37.08  29.44
48005271899  28.51  15.55  29.71  52.03  62.42  72.75  82.63  81.37  75.72  53.19  51.35  30.76
48005271900  35.92  30.56  43.09  57.43  73.29  83.59  84.18  85.10  69.22  60.71  39.83  37.22
48005271901  35.19  27.48  41.86  55.15  71.76  69.28  87.98  82.24  68.02  62.71  48.74  31.80
48005271902  30.94  35.71  41.16  51.03  65.75  71.49  80.04  81.01  70.50  61.83  44.80  31.14
48005271903  35.06  26.60  40.06  54.25  60.62  73.62  79.70  79.83  64.06  60.80  40.98  33.30
