,date,max_temp,min_temp,avg_temp
593,1944-06-01,60.62,38.48,49.55
594,1944-07-01,71.22,44.31,57.78
595,1944-08-01,71.83,40.68,56.26
596,1944-09-01,62.47,36.41,49.44
597,1944-10-01,56.95,29.43,43.2
598,1944-11-01,36.07,17.85,26.96
599,1944-12-01,29.75,7.97,18.86
600,1945-01-01,30.87,11.62,21.25
601,1945-02-01,32.23,11.03,21.61
602,1945-03-01,38.77,15.82,27.28
603,1945-04-01,42.17,19.2,30.69
604,1945-05-01,54.14,32.09,43.12
605,1945-06-01,57.33,37.47,47.41
606,1945-07-01,73.72,45.0,59.36
607,1945-08-01,72.07,44.37,58.21
608,1945-09-01,58.03,35.67,46.85
609,1945-10-01,55.53,30.16,42.85
610,1945-11-01,34.63,19.2,26.91
611,1945-12-01,25.16,9.52,17.33
612,1946-01-01,29.05,9.77,19.4
613,1946-02-01,32.65,11.3,21.97
614,1946-03-01,42.49,20.43,31.46
615,1946-04-01,54.81,28.98,41.9
616,1946-05-01,52.47,31.26,41.88
617,1946-06-01,66.74,40.12,53.42
618,1946-07-01,75.72,47.5,61.61
619,1946-08-01,71.49,43.61,57.56
620,1946-09-01,60.93,35.82,48.38
621,1946-10-01,41.16,25.95,33.55
622,1946-11-01,34.65,17.17,25.9
623,1946-12-01,31.91,14.95,23.43
624,1947-01-01,25.61,7.27,16.43
625,1947-02-01,31.59,8.94,20.26
626,1947-03-01,37.0,14.31,25.65
627,1947-04-01,46.71,23.49,35.1
628,1947-05-01,58.98,33.93,46.45
629,1947-06-01,59.54,37.92,48.74
630,1947-07-01,76.3,46.53,61.41
631,1947-08-01,72.81,45.39,59.09
632,1947-09-01,62.89,38.62,50.76
633,1947-10-01,54.03,32.94,43.48
634,1947-11-01,28.87,13.64,21.25
635,1947-12-01,28.22,12.69,20.44
636,1948-01-01,27.07,7.52,17.29
637,1948-02-01,27.52,6.93,17.22
638,1948-03-01,33.53,9.91,21.72
639,1948-04-01,47.43,25.25,36.34
640,1948-05-01,57.94,33.8,45.88
641,1948-06-01,63.68,42.73,53.22
642,1948-07-01,72.63,44.6,58.62
643,1948-08-01,73.02,43.93,58.48
644,1948-09-01,65.5,38.53,52.02
645,1948-10-01,53.94,27.18,40.57
646,1948-11-01,31.15,16.25,23.7
647,1948-12-01,22.89,5.14,14.02
648,1949-01-01,15.22,-7.73,3.74
649,1949-02-01,26.78,4.93,15.85
650,1949-03-01,36.81,15.1,25.95
651,1949-04-01,54.1,26.91,40.51
652,1949-05-01,58.51,35.33,46.92
653,1949-06-01,63.88,39.94,51.91
654,1949-07-01,75.25,44.85,60.06
655,1949-08-01,74.39,44.91,59.65
656,1949-09-01,62.19,36.0,49.1
657,1949-10-01,42.33,25.21,33.78
658,1949-11-01,45.91,25.93,35.92
